SIZEIS: 2048 1
-8.5 30.4844 183 2
-5 35 165 2
16296 16272 -7947 2
4.5 32528 225 2
2.5 11.5 161 2
16296 -16280 8324 2
0.5 32528 227 2
-16256 16272 8365 2
-0 0 -32767 2
-0 0 -32767 2
2.49805 38.5 216 2
3.99805 44.9688 222 2
-32496 -3 -32766 2
12.4922 1.49902 278 2
37 13 -4 2
26.4844 9.5 40 2
-65504 -5 0 2
21.5 5.5 51 2
10.5 8.5 92 2
9.49219 3.49805 112 2
7.99609 -12 99 2
6.99609 -9 112 2
47 8 -2 2
18.9844 4.99609 65 2
34 11 14 2
11.5 0.5 79 2
1 8 90 2
10.4922 1.49902 100 2
7.99609 -1 96 2
7 4 111 2
-13.5 22.5 105 2
-2 12.9922 87 2
8.49219 0.499756 123 2
-10.5 8.49219 126 2
9.99219 -4 89 2
10.9922 -7 111 2
-5 14 104 2
4.49609 -3.5 107 2
16.4844 3.49805 123 2
-1.5 12.4922 144 2
9.5 -0.499756 131 2
9.5 0.5 152 2
-7 15.9922 133 2
-3 11.9922 109 2
-5.72205e-06 14.9922 163 2
-17 27.9844 145 2
21 -3 28 2
14.4922 -5.5 72 2
11 -3 23 2
16376 16328 -8112 2
9.99219 -1 96 2
8.99219 2.99805 112 2
6.5 32656 104 2
-16312 16320 8282 2
-19 22 46 2
10.9922 -5 31 2
-20 21.9844 82 2
-13 27 38 2
-0 0 -32767 2
-0 0 -32767 2
16360 -16368 8217 2
16368 -16368 24584 2
9.99219 -3 134 2
15.4922 0.499756 154 2
3.49805 11.4922 135 2
8 3 152 2
11.5 1.5 179 2
-21 7.99609 194 2
13.9922 -5 170 2
4.49609 -5.5 193 2
-16304 16304 24615 2
5.99609 -1 165 2
-0 0 -32767 2
-16296 16296 24618 2
3.49805 7.49609 174 2
10 6 189 2
13.4922 -6.5 179 2
10.9922 -3 199 2
13.5 -5.49609 134 2
8.49219 -9.5 163 2
7.99609 -6 137 2
9.49219 -2.5 145 2
2.49805 -4.5 172 2
0.5 11.5 168 2
10 2 166 2
9.49219 13.4922 180 2
11.4922 5.49609 121 2
7 10 142 2
16.9844 7.99609 128 2
10 6 167 2
9.49219 -3.5 160 2
24.4844 -8.5 182 2
-1.5 18.4844 176 2
5.49609 17.4844 180 2
5.49609 26.4844 168 2
16288 -16272 8329 2
6.49609 7.49609 198 2
6.99609 5.99609 211 2
-32512 -12 -32761 2
23.9844 -19 284 2
-8 12.9922 209 2
28.5 -11.4922 224 2
5.49609 -3.5 216 2
4.49609 0.499756 222 2
7.5 3.5 194 2
7.5 -4.5 212 2
9.99219 7.99609 234 2
0.999512 15.9922 247 2
16 -6.99609 237 2
10.9922 2.99805 263 2
-2.5 17.5 147 2
10.9922 -16 161 2
-2.5 11.4922 192 2
-12 25.9844 167 2
5.99609 -18 189 2
10.4922 -13.5 200 2
-1 16 160 2
1.49902 -1.5 171 2
4.99609 7.99609 211 2
5 28 210 2
16 3 220 2
7 6 249 2
-7.5 33.5 217 2
-5.5 32.4688 197 2
1.99902 3.99805 268 2
-14 9.99219 259 2
4 -15 221 2
